Mobile.Weight,Front.Camera,Back.Camera
174.0,12,48
174.0,12,48
174.0,12,48
203.0,12,48
203.0,12,48
203.0,12,48
206.0,16,62
206.0,16,62
206.0,16,62
221.0,16,60
221.0,16,60
221.0,16,60
171.0,12,48
171.0,12,48
171.0,12,48
203.0,12,48
203.0,12,48
203.0,12,48
206.0,16,60
206.0,16,60
206.0,16,60
221.0,16,60
221.0,16,60
221.0,16,60
172.0,12,24
172.0,12,24
172.0,12,24
203.0,12,24
203.0,12,24
203.0,12,24
206.0,16,60
206.0,16,60
206.0,16,60
221.0,16,60
221.0,16,60
221.0,16,60
140.0,12,12
140.0,12,12
140.0,12,12
174.0,12,24
174.0,12,24
174.0,12,24
204.0,16,36
204.0,16,36
204.0,16,36
238.0,16,36
238.0,16,36
238.0,16,36
135.0,12,12
135.0,12,12
135.0,12,12
164.0,12,24
164.0,12,24
164.0,12,24
189.0,16,36
189.0,16,36
189.0,16,36
228.0,16,36
228.0,16,36
228.0,16,36
194.0,12,24
194.0,12,24
194.0,12,24
188.0,16,36
188.0,16,36
188.0,16,36
226.0,16,36
226.0,16,36
226.0,16,36
174.0,7,24
174.0,7,24
177.0,7,24
177.0,7,24
177.0,7,24
208.0,7,24
208.0,7,24
208.0,7,24
194.0,7,24
194.0,7,24
194.0,7,24
458.0,12,12
458.0,12,12
490.0,12,8
490.0,12,8
300.5,7,8
300.5,7,8
468.0,7,22
468.0,7,22
468.0,7,22
682.0,7,22
682.0,7,22
682.0,7,22
708.0,7,22
708.0,7,22
708.0,7,22
708.0,7,22
708.0,7,22
234.0,12,212
234.0,12,212
196.0,12,62
196.0,12,62
168.0,12,62
168.0,12,62
228.0,12,212
228.0,12,212
196.0,12,62
196.0,12,62
168.0,12,62
168.0,12,62
228.0,10,120
228.0,10,120
195.0,10,62
195.0,10,62
167.0,10,62
167.0,10,62
254.0,10,62
254.0,10,62
187.0,12,24
187.0,12,24
263.0,10,62
263.0,10,62
187.0,10,24
187.0,10,24
189.0,32,62
189.0,32,62
199.0,13,56
199.0,13,56
195.0,13,55
195.0,13,55
190.0,13,52
190.0,13,52
188.0,5,52
188.0,5,52
202.0,32,116
202.0,32,116
199.0,13,58
199.0,13,58
202.0,13,52
202.0,13,52
188.0,5,15
188.0,5,15
199.0,32,116
199.0,32,116
190.0,13,58
190.0,13,58
198.0,13,52
198.0,13,52
208.0,10,120
192.0,10,120
192.0,10,120
196.0,10,28
196.0,10,28
168.0,10,28
168.0,10,28
235.0,13,50
172.0,5,16
191.0,16,21
181.0,13,13
178.0,8,18
175.0,5,13
189.0,16,24
165.0,16,16
143.0,8,16
228.0,10,120
229.0,10,120
586.0,12,21
498.0,12,13
523.0,12,8
567.0,12,19
503.0,12,19
480.0,5,8
366.0,2,8
508.0,5,8
366.0,2,8
433.0,5,13
674.0,8,13
426.0,5,13
490.0,2,5
360.0,2,5
205.0,32,98
203.0,16,58
205.0,16,98
202.0,16,58
190.0,16,58
179.0,16,52
195.0,16,108
192.0,16,66
238.0,32,96
200.0,32,98
203.0,16,58
192.0,16,98
183.0,16,98
204.0,32,98
190.0,32,58
190.0,32,58
189.0,16,15
185.0,8,15
188.0,16,64
192.0,16,98
188.0,16,64
203.0,16,58
189.0,16,53
199.0,16,96
180.0,16,64
195.0,16,66
173.0,16,72
184.0,16,53
170.0,16,72
189.0,32,58
185.0,8,15
190.0,16,72
192.0,16,53
190.0,16,53
185.0,16,36
162.0,16,36
210.0,16,58
202.0,32,98
205.0,16,66
206.0,16,56
177.0,16,36
155.0,16,36
190.0,32,72
199.0,16,56
188.0,16,64
206.0,16,56
210.0,32,58
202.0,16,72
215.0,32,98
200.0,16,58
550.0,8,13
550.0,8,13
610.0,16,50
223.0,32,50
223.0,32,50
223.0,32,200
223.0,32,200
187.0,32,50
179.0,44,64
190.0,16,64
180.0,16,50
181.0,16,64
189.0,32,108
192.0,32,64
210.0,16,50
162.0,12,16
150.0,24,16
199.0,28,16
146.0,5,13
146.0,5,13
158.0,28,16
163.0,20,15
168.0,8,13
153.0,5,13
155.0,16,13
176.0,32,48
176.0,32,48
201.0,32,48
201.0,32,48
191.0,8,13
191.0,8,13
185.0,32,48
185.0,32,48
190.0,8,13
190.0,8,13
190.0,32,48
190.0,32,48
190.0,32,48
190.0,32,48
193.0,8,13
193.0,8,13
159.0,16,16
159.0,16,16
156.0,12,12
156.0,12,12
172.0,50,64
172.0,50,64
182.0,16,50
182.0,16,50
190.0,32,48
190.0,32,48
173.0,44,64
173.0,44,64
179.0,16,50
179.0,16,50
190.0,16,64
190.0,16,64
185.0,32,48
185.0,32,48
185.0,32,50
185.0,32,50
181.0,16,50
181.0,16,50
199.0,32,64
199.0,32,64
182.0,50,50
182.0,50,50
182.0,50,50
182.0,50,50
190.0,32,64
190.0,32,64
221.0,32,50
221.0,32,50
190.0,16,64
190.0,16,64
190.0,16,64
190.0,16,64
179.0,50,64
179.0,50,64
206.0,32,50
206.0,32,50
182.0,8,13
182.0,8,13
498.0,8,13
535.0,8,50
510.0,8,13
500.0,8,13
550.0,8,50
560.0,8,50
520.0,8,13
540.0,8,50
555.0,8,50
239.0,32,160
198.0,32,130
210.0,32,150
195.0,32,100
192.0,32,60
192.0,32,60
210.0,50,108
200.0,50,58
187.0,32,60
187.0,32,60
190.0,32,90
185.0,32,58
185.0,32,74
190.0,32,90
180.0,16,52
186.0,16,52
186.0,8,52
186.0,5,50
186.0,8,10
186.0,8,10
186.0,5,50
186.0,8,10
186.0,8,10
186.0,5,50
186.0,8,52
186.0,8,52
192.0,16,50
192.0,16,50
175.0,32,66
175.0,32,66
177.0,32,66
177.0,32,66
173.0,32,66
173.0,32,66
533.0,8,13
533.0,8,13
586.0,8,13
586.0,8,13
520.0,8,13
520.0,8,13
221.0,32,150
221.0,32,150
206.0,32,164
206.0,32,164
218.0,32,150
218.0,32,150
207.0,32,150
207.0,32,150
218.0,32,113
218.0,32,113
196.0,32,113
191.0,32,58
191.0,32,58
233.0,32,130
180.0,32,104
180.0,32,104
186.0,32,90
194.0,32,122
174.0,32,66
174.0,32,66
184.0,32,58
192.0,32,60
179.0,32,60
179.0,32,60
183.0,32,60
195.0,32,60
173.0,32,74
173.0,32,74
180.0,32,60
182.0,32,74
182.0,32,74
177.0,32,76
177.0,32,76
188.0,32,81
180.0,32,76
180.0,32,76
173.0,32,76
173.0,32,76
184.0,32,81
183.0,32,60
183.0,32,60
172.0,32,73
181.0,32,76
181.0,32,76
171.0,32,71
186.0,8,15
186.0,8,15
188.0,8,52
186.0,8,15
189.0,8,15
186.0,8,17
190.0,16,60
175.0,8,20
184.0,8,24
186.0,8,17
185.0,8,15
185.0,8,15
186.0,5,50
186.0,5,50
195.0,16,110
195.0,16,110
195.0,16,68
195.0,16,68
205.0,16,74
194.0,16,68
194.0,16,68
180.0,16,74
180.0,16,74
172.0,32,74
172.0,32,74
194.0,16,60
180.0,32,60
180.0,32,60
195.0,16,110
195.0,16,110
184.0,16,74
184.0,16,74
195.0,16,68
195.0,16,68
205.0,16,74
205.0,16,74
194.0,16,68
194.0,16,68
180.0,16,74
180.0,16,74
172.0,32,74
172.0,32,74
194.0,16,60
180.0,32,60
222.8,16,108
222.8,16,108
191.0,32,108
191.0,32,108
191.0,32,108
191.0,32,58
191.0,32,58
184.0,16,108
184.0,16,108
184.0,16,58
184.0,16,58
190.0,16,52
190.0,16,52
185.0,16,52
185.0,16,52
190.0,16,52
190.0,16,52
192.0,16,60
192.0,16,60
195.0,32,108
195.0,32,108
185.0,16,66
185.0,16,66
188.0,32,108
188.0,32,108
184.0,16,52
184.0,16,52
190.0,16,66
190.0,16,66
200.0,16,52
200.0,16,52
195.0,16,52
193.0,16,52
198.0,16,52
198.0,16,52
190.0,8,52
190.0,8,52
189.0,8,52
195.0,8,52
195.0,8,52
192.0,8,52
192.0,8,52
191.0,8,52
189.0,8,66
189.0,8,66
198.0,16,52
196.0,16,52
196.0,16,52
195.0,16,52
199.0,16,60
199.0,16,60
193.0,16,74
193.0,16,74
195.0,16,58
195.0,16,58
440.0,8,8
440.0,8,8
482.0,8,8
482.0,8,8
466.0,8,8
466.0,8,8
499.0,8,13
499.0,8,13
372.0,5,8
372.0,5,8
440.0,8,8
440.0,8,8
465.0,8,8
465.0,8,8
210.0,32,150
210.0,32,150
210.0,32,150
190.0,32,100
190.0,32,100
209.0,32,150
209.0,32,150
209.0,32,150
195.0,32,100
195.0,32,100
206.0,32,150
206.0,32,150
189.0,32,100
189.0,32,100
205.0,16,210
205.0,16,210
205.0,16,210
195.0,16,118
195.0,16,118
190.0,16,118
190.0,16,118
185.0,16,60
185.0,16,60
180.0,16,60
180.0,16,60
195.0,8,52
195.0,8,52
209.0,16,50
209.0,16,50
209.0,16,50
198.0,8,48
198.0,8,48
200.0,16,64
190.0,5,13
200.0,8,48
172.0,16,13
172.0,5,13
164.0,16,16
164.0,16,16
185.0,32,48
185.0,32,48
210.0,16,16
168.0,32,50
168.0,32,50
186.0,50,50
186.0,50,50
192.0,32,50
192.0,32,50
166.0,16,50
166.0,16,50
195.0,16,50
195.0,16,50
180.0,25,48
180.0,25,48
170.0,32,64
170.0,32,64
198.0,8,48
198.0,8,48
206.0,16,50
206.0,16,50
203.0,5,13
203.0,5,13
205.0,16,50
205.0,16,50
190.0,32,64
190.0,32,64
171.0,32,50
171.0,32,50
182.0,16,50
182.0,16,50
188.0,16,50
188.0,16,50
183.0,16,50
183.0,16,50
180.0,32,50
180.0,32,50
189.0,32,50
188.0,32,50
173.0,32,50
173.0,32,50
170.0,32,50
170.0,32,50
180.0,8,13
180.0,8,13
174.0,32,50
174.0,32,50
198.0,60,200
195.0,16,50
195.0,16,50
198.0,60,200
168.0,32,50
168.0,32,50
155.0,32,64
155.0,32,64
173.0,16,50
173.0,16,50
184.0,16,50
184.0,16,50
175.0,16,50
184.0,16,50
185.0,8,16
169.0,5,16
169.0,5,16
185.0,16,50
181.0,13,50
195.0,13,50
190.0,17,40
188.0,13,64
295.0,16,50
175.0,32,50
186.0,32,50
181.0,13,50
255.0,17,50
202.0,13,50
205.0,13,50
168.0,60,50
191.0,60,50
184.0,16,108
197.0,13,109
200.0,13,109
206.0,13,136
239.0,8,75
209.0,13,74
225.0,13,138
235.0,13,146
168.0,60,58
188.0,68,58
188.0,68,58
220.0,13,75
220.0,13,115
220.0,13,115
226.0,13,140
220.0,13,62
220.0,13,102
220.0,13,102
241.0,8,75
168.0,60,58
188.0,68,58
245.0,13,110
245.0,13,110
170.0,50,58
170.0,50,58
190.0,68,58
190.0,68,58
193.0,8,50
197.0,8,48
197.0,8,48
199.0,8,50
199.0,8,50
190.0,8,50
190.0,8,50
190.0,8,13
190.0,8,13
198.0,16,48
185.0,12,12
172.0,12,12
161.0,8,12
187.0,12,48
178.0,12,48
164.0,8,48
190.0,12,48
180.0,12,48
167.0,8,48
508.0,16,22
580.0,16,22
147.0,8,14
167.0,8,14
162.0,8,14
193.0,8,14
143.0,8,14
168.0,8,14
151.0,8,14
183.0,8,14
207.0,8,50
210.0,12,50
178.0,8,14
197.0,18,50
212.0,18,50
193.0,18,64
187.0,15,50
213.0,15,50
194.0,15,64
195.0,18,50
216.0,18,50
222.0,18,50
250.0,18,50
190.0,8,13
450.0,13,50
195.0,5,8
420.0,12,50
198.0,32,50
200.0,16,50
195.0,16,50
190.0,5,8
205.0,32,50
192.0,16,50
280.0,32,64
195.0,32,50
225.0,16,50
190.0,16,50
195.0,5,8
202.0,50,108
195.0,16,50
210.0,32,50
230.0,16,50
210.0,50,108
205.0,50,64
198.0,32,50
195.0,32,50
230.0,32,64
210.0,32,50
195.0,16,50
192.0,16,50
190.0,16,50
195.0,5,8
195.0,5,8
202.0,50,108
202.0,50,108
200.0,32,50
205.0,50,108
200.0,32,50
198.0,32,50
195.0,32,50
240.0,32,50
230.0,16,50
450.0,8,13
470.0,16,50
420.0,5,8
480.0,32,50
192.0,8,50
190.0,8,50
195.0,16,50
194.0,16,50
196.0,32,108
198.0,32,108
198.0,32,108
196.0,32,50
195.0,32,108
195.0,32,108
196.0,32,108
196.0,32,50
195.0,8,13
195.0,32,108
195.0,50,108
195.0,50,108
190.0,32,108
190.0,32,108
190.0,32,108
196.0,8,50
191.0,8,13
191.0,8,13
205.0,8,16
202.0,8,50
185.0,50,108
185.0,50,108
187.0,32,108
195.0,8,13
209.0,8,13
191.0,8,50
190.0,8,13
198.0,8,50
209.0,8,13
202.0,8,50
204.0,8,50
195.0,8,13
205.0,8,48
211.0,8,48
211.0,8,48
195.0,8,13
207.0,8,13
201.0,8,13
209.0,8,13
205.0,8,50
195.0,5,8
210.0,8,48
195.0,8,13
210.0,16,64
210.0,16,48
204.0,8,16
205.0,48,64
195.0,8,13
175.0,8,48
185.0,32,40
190.0,32,50
192.0,32,50
190.0,16,64
203.0,16,40
227.0,8,48
213.0,16,64
213.0,32,40
206.0,8,48
189.0,16,50
175.0,32,108
187.0,32,108
191.0,16,108
192.0,16,64
179.0,16,64
179.0,16,64
191.0,8,13
202.0,13,50
213.0,13,50
236.0,13,50
179.0,32,108
192.0,50,108
191.0,16,64
189.0,16,48
175.0,16,48
228.0,8,64
190.0,5,13
198.0,5,13
199.0,12,50
215.0,12,50
242.0,12,50
288.0,42,50
178.0,32,54
192.0,50,54
209.0,50,54
172.0,8,50
175.0,8,50
196.0,5,13
199.0,5,13
204.0,12,50
219.0,12,50
234.0,12,50
267.0,16,50
180.0,32,160
193.0,50,160
175.0,32,64
185.0,8,108
179.0,8,100
191.0,5,13
195.0,5,50
203.0,12,50
219.0,12,50
234.0,12,50
231.0,16,50
183.0,50,200
192.0,50,200
175.0,32,64
185.0,8,108
179.0,8,100
191.0,5,13
195.0,5,50
203.0,12,50
219.0,12,50
234.0,12,50
231.0,16,50
460.0,2,5
460.0,2,5
460.0,2,5
480.0,8,13
485.0,8,13
520.0,5,5
460.0,2,5
450.0,2,5
510.0,5,13
530.0,8,13
550.0,8,13
560.0,8,13
495.0,5,8
460.0,2,5
590.0,8,13
580.0,12,16
450.0,2,5
460.0,2,5
505.0,8,13
530.0,8,13
610.0,12,16
475.0,5,8
485.0,8,13
590.0,12,16
530.0,8,13
219.0,20,64
209.0,16,48
215.0,20,64
198.0,8,48
196.0,20,48
215.0,20,48
190.0,8,48
205.0,16,64
193.0,16,64
195.0,16,50
195.0,20,64
210.0,20,64
205.0,16,108
179.0,16,64
201.0,5,50
178.8,13,64
181.0,16,64
204.0,20,64
189.0,13,48
181.0,16,108
199.0,8,50
202.0,8,50
193.0,16,64
205.0,20,108
190.0,20,64
210.0,20,108
190.0,5,50
195.0,16,64
207.0,20,108
198.0,8,50
571.0,8,8
571.0,8,8
239.0,14,50
239.0,14,50
